TITLE,1_3-26,
DATA TYPE,ULTRAVIOLET SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,24/03/2026,
TIME,15:44:03,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1040,
RESOLUTION,,
DELTAX,-0.5,
XUNITS,NANOMETERS,
YUNITS,ABSORBANCE,
FIRSTX,1200,
LASTX,200,
NPOINTS,2001,
FIRSTY,0.00937,
MAXY,1.02624,
MINY,0.00937,
XYDATA,,
976.5,0.0144931,0.019284356
976,0.0145208,0.019321213
975.5,0.0145441,0.019352216
975,0.0145467,0.019355676
974.5,0.0145878,0.019410363
974,0.0145797,0.019399585
973.5,0.0146252,0.019460127
973,0.0146501,0.019493259
972.5,0.0146829,0.019536902
972,0.0146684,0.019517608
971.5,0.0147024,0.019562848
971,0.0147562,0.019634434
970.5,0.0147659,0.019647341
970,0.0148084,0.019703891
969.5,0.0148359,0.019740482
969,0.0148048,0.019699101
968.5,0.0148673,0.019782262
968,0.0148456,0.019753389
967.5,0.0148723,0.019788915
967,0.014839,0.019744607
966.5,0.0148864,0.019807677
966,0.0148987,0.019824043
965.5,0.0149177,0.019849324
965,0.0149277,0.01986263
964.5,0.0149273,0.019862098
964,0.0149188,0.019850788
963.5,0.014946,0.01988698
963,0.0149499,0.019892169
962.5,0.0149593,0.019904677
962,0.0149266,0.019861166
961.5,0.0149184,0.019850256
961,0.0149205,0.01985305
960.5,0.0149381,0.019876468
960,0.0148856,0.019806612
959.5,0.0149291,0.019864493
959,0.0149293,0.019864759
958.5,0.0149215,0.01985438
958,0.0149265,0.019861033
957.5,0.0149595,0.019904943
957,0.0149521,0.019895096
956.5,0.0149212,0.019853981
956,0.0150018,0.019961227
955.5,0.0150119,0.019974666
955,0.0150147,0.019978391
954.5,0.0150518,0.020027756
954,0.0150033,0.019963223
953.5,0.0150331,0.020002874
953,0.015071,0.020053303
952.5,0.0150562,0.020033611
952,0.0150852,0.020072198
951.5,0.0150509,0.020026559
951,0.0150822,0.020068206
950.5,0.0150667,0.020047582
950,0.0150818,0.020067674
949.5,0.0150577,0.020035607
949,0.0150741,0.020057428
948.5,0.0150444,0.02001791
948,0.0150695,0.020051308
947.5,0.0150373,0.020008463
947,0.0150721,0.020054767
946.5,0.0150068,0.01996788
946,0.0150518,0.020027756
945.5,0.0150516,0.02002749
945,0.015153,0.020162412
944.5,0.0151315,0.020133804
944,0.0152292,0.020263803
943.5,0.0151982,0.020222554
943,0.0152558,0.020299196
942.5,0.0152174,0.020248102
942,0.0152667,0.0203137
941.5,0.0151809,0.020199535
941,0.0152511,0.020292942
940.5,0.0152606,0.020305583
940,0.0152655,0.020312103
939.5,0.0152353,0.020271919
939,0.0152599,0.020304652
938.5,0.01519,0.020211643
938,0.0152272,0.020261141
937.5,0.0151943,0.020217365
937,0.0152313,0.020266597
936.5,0.0152225,0.020254888
936,0.0152673,0.020314498
935.5,0.0152482,0.020289084
935,0.0152946,0.020350823
934.5,0.0153091,0.020370117
934,0.0153447,0.020417486
933.5,0.0153487,0.020422808
933,0.0153839,0.020469645
932.5,0.0154056,0.020498518
932,0.0154418,0.020546686
931.5,0.0154387,0.020542561
931,0.0154726,0.020587668
930.5,0.0154471,0.020553738
930,0.0155015,0.020626122
929.5,0.0155356,0.020671495
929,0.0155054,0.020631311
928.5,0.0155051,0.020630912
928,0.0155679,0.020714473
927.5,0.0156053,0.020764237
927,0.0156419,0.020812937
926.5,0.0156823,0.020866692
926,0.015701,0.020891574
925.5,0.0157288,0.020928565
925,0.0157821,0.020999485
924.5,0.015747,0.020952781
924,0.0157681,0.020980857
923.5,0.0157207,0.020917787
923,0.0157575,0.020966753
922.5,0.0157651,0.020976865
922,0.0158242,0.021055503
921.5,0.0158286,0.021061357
921,0.0158376,0.021073333
920.5,0.015858,0.021100477
920,0.01586,0.021103138
919.5,0.0159603,0.021236596
919,0.0159407,0.021210516
918.5,0.0159493,0.02122196
918,0.016019,0.021314702
917.5,0.016013,0.021306718
917,0.0160304,0.02132987
916.5,0.0160659,0.021377106
916,0.0160449,0.021349164
915.5,0.0160641,0.021374711
915,0.0160365,0.021337987
914.5,0.0161337,0.02146732
914,0.016078,0.021393206
913.5,0.0161255,0.021456409
913,0.0161194,0.021448293
912.5,0.0160399,0.021342511
912,0.0160084,0.021300597
911.5,0.0159818,0.021265204
911,0.0159738,0.021254559
910.5,0.01604,0.021342644
910,0.0160583,0.021366994
909.5,0.0160692,0.021381497
909,0.0160429,0.021346503
908.5,0.0161577,0.021499254
908,0.0161597,0.021501915
907.5,0.0162284,0.021593327
907,0.0162402,0.021609028
906.5,0.0163063,0.02169698
906,0.0163302,0.021728781
905.5,0.0163322,0.021731442
905,0.0163832,0.021799302
904.5,0.0164237,0.021853191
904,0.0164695,0.021914132
903.5,0.0163979,0.021818862
903,0.0164581,0.021898963
902.5,0.0164977,0.021951654
902,0.0165449,0.022014458
901.5,0.0166255,0.022121704
901,0.016606,0.022095757
900.5,0.016573,0.022051848
900,0.0166774,0.022190761
899.5,0.0166949,0.022214046
899,0.0167385,0.02227206
898.5,0.0167118,0.022236533
898,0.016831,0.02239514
897.5,0.0167719,0.022316502
897,0.0168528,0.022424146
896.5,0.016893,0.022477636
896,0.0168734,0.022451557
895.5,0.0169557,0.022561064
895,0.0170171,0.022642762
894.5,0.0169564,0.022561995
894,0.017043,0.022677224
893.5,0.0170867,0.022735371
893,0.0171502,0.022819864
892.5,0.0170853,0.022733508
892,0.0172138,0.022904489
891.5,0.0171432,0.022810549
891,0.0172093,0.022898501
890.5,0.0171491,0.0228184
890,0.0171791,0.022858318
889.5,0.0171135,0.022771031
889,0.0171626,0.022836363
888.5,0.0171236,0.02278447
888,0.017205,0.02289278
887.5,0.0171676,0.022843016
887,0.0172996,0.023018654
886.5,0.0172091,0.022898235
886,0.0172609,0.02296716
885.5,0.017111,0.022767704
885,0.0172714,0.022981131
884.5,0.0171975,0.0228828
884,0.0172718,0.022981663
883.5,0.0172604,0.022966494
883,0.0172749,0.022985788
882.5,0.017261,0.022967293
882,0.0172656,0.022973414
881.5,0.0172288,0.022924448
881,0.0172623,0.022969023
880.5,0.0173455,0.023079728
880,0.0175768,0.023387493
879.5,0.0174275,0.023188836
879,0.0174912,0.023273594
878.5,0.0174553,0.023225826
878,0.0175026,0.023288763
877.5,0.0175285,0.023323225
877,0.0176239,0.023450163
876.5,0.0175663,0.023373522
876,0.0175551,0.023358619
875.5,0.0176296,0.023457748
875,0.0176536,0.023489682
874.5,0.0177157,0.023572312
874,0.0177935,0.023675831
873.5,0.0178538,0.023756066
873,0.0178969,0.023813414
872.5,0.0178677,0.023774561
872,0.0178156,0.023705237
871.5,0.0179098,0.023830579
871,0.0178626,0.023767775
870.5,0.0179081,0.023828317
870,0.0179224,0.023847344
869.5,0.017981,0.023925317
869,0.0179492,0.023883004
868.5,0.0180588,0.024028837
868,0.0179563,0.023892451
867.5,0.0179687,0.02390895
867,0.0181844,0.024195958
866.5,0.0182173,0.024239735
866,0.0182492,0.024282181
865.5,0.0183693,0.024441984
865,0.0184742,0.024581563
864.5,0.0184302,0.024523017
864,0.0183602,0.024429876
863.5,0.0184772,0.024585555
863,0.0183822,0.024459149
862.5,0.0184725,0.024579301
862,0.0183977,0.024479773
861.5,0.0183922,0.024472455
861,0.0183014,0.024351637
860.5,0.018441,0.024537388
860,0.0183132,0.024367338
859.5,0.0183775,0.024452895
859,0.0184616,0.024564798
858.5,0.0185502,0.024682688
858,0.0185054,0.024623077
857.5,0.018547,0.02467843
857,0.0186101,0.02476239
856.5,0.0186785,0.024853402
856,0.0187192,0.024907557
855.5,0.0188345,0.025060974
855,0.0187417,0.024937496
854.5,0.018836,0.02506297
854,0.0187275,0.024918601
853.5,0.018908,0.025158773
853,0.0188352,0.025061906
852.5,0.0187807,0.024989389
852,0.0188579,0.02509211
851.5,0.0187925,0.02500509
851,0.018606,0.024756935
850.5,0.0187522,0.024951467
850,0.0200494,0.026677507
849.5,0.0201673,0.026834383
849,0.0201533,0.026815755
848.5,0.0201467,0.026806973
848,0.0201727,0.026841568
847.5,0.0202411,0.02693258
847,0.0203126,0.027027717
846.5,0.0203745,0.027110081
846,0.0204085,0.027155321
845.5,0.0204751,0.027243938
845,0.0204939,0.027268953
844.5,0.0205012,0.027278667
844,0.0205064,0.027285586
843.5,0.0205928,0.027400548
843,0.0205666,0.027365687
842.5,0.0206354,0.027457232
842,0.0206901,0.027530015
841.5,0.020697,0.027539196
841,0.0207102,0.02755676
840.5,0.0207363,0.027591488
840,0.0207688,0.027634732
839.5,0.0207592,0.027621958
839,0.0207965,0.027671589
838.5,0.0208578,0.027753154
838,0.0208435,0.027734127
837.5,0.0208469,0.027738651
837,0.0208851,0.02778948
836.5,0.0209187,0.027834187
836,0.0209414,0.027864392
835.5,0.0209898,0.027928792
835,0.0210394,0.027994789
834.5,0.0210687,0.028033776
834,0.0211357,0.028122925
833.5,0.0211497,0.028141553
833,0.021148,0.028139291
832.5,0.0211767,0.028177479
832,0.0212037,0.028213405
831.5,0.0212002,0.028208748
831,0.0212188,0.028233497
830.5,0.021209,0.028220457
830,0.0212557,0.028282596
829.5,0.0212561,0.028283128
829,0.021285,0.028321582
828.5,0.0213462,0.028403014
828,0.0214004,0.028475132
827.5,0.0213892,0.028460229
827,0.0214316,0.028516646
826.5,0.0214948,0.02860074
826,0.02151,0.028620964
825.5,0.0215913,0.028729141
825,0.0216502,0.028807513
824.5,0.0216578,0.028817626
824,0.0217048,0.028880163
823.5,0.0217245,0.028906376
823,0.0217619,0.02895614
822.5,0.0217614,0.028955475
822,0.0218363,0.029055136
821.5,0.0218917,0.02912885
821,0.0219645,0.029225717
820.5,0.0219943,0.029265369
820,0.0220744,0.029371949
819.5,0.0220783,0.029377138
819,0.0221526,0.029476001
818.5,0.0221575,0.029482521
818,0.0221645,0.029491835
817.5,0.0221635,0.029490504
817,0.0222186,0.02956382
816.5,0.0222989,0.029670666
816,0.0223331,0.029716172
815.5,0.0223643,0.029757686
815,0.0224082,0.029816099
814.5,0.0224309,0.029846304
814,0.0224946,0.029931062
813.5,0.0225364,0.029986681
813,0.0225404,0.029992003
812.5,0.0225844,0.030050549
812,0.0226344,0.030117079
811.5,0.0226823,0.030180814
811,0.0227252,0.030237896
810.5,0.0227072,0.030213945
810,0.0227474,0.030267435
809.5,0.0227379,0.030254794
809,0.0227825,0.030314139
808.5,0.0228468,0.030399696
808,0.0229259,0.030504945
807.5,0.022976,0.030571608
807,0.0230398,0.030656499
806.5,0.023103,0.030740592
806,0.0231321,0.030779313
805.5,0.0231662,0.030824686
805,0.0231737,0.030834665
804.5,0.0232259,0.030904122
804,0.0232299,0.030909444
803.5,0.0233253,0.031036382
803,0.0233561,0.031077364
802.5,0.0234368,0.031184743
802,0.0234921,0.031258324
801.5,0.0235555,0.031342684
801,0.0236024,0.031405088
800.5,0.0236326,0.031445272
800,0.0236748,0.031501423
799.5,0.0237126,0.031551719
799,0.0237452,0.031595097
798.5,0.0237965,0.031663356
798,0.0238179,0.03169183
797.5,0.0238708,0.031762218
797,0.023914,0.0318197
796.5,0.0239659,0.031888757
796,0.0240023,0.031937191
795.5,0.0240883,0.032051622
795,0.0241168,0.032089543
794.5,0.0241842,0.032179225
794,0.0242348,0.032246553
793.5,0.0243499,0.032399704
793,0.0243986,0.032464503
792.5,0.024459,0.032544871
792,0.0244535,0.032537553
791.5,0.024529,0.032638012
791,0.0245355,0.032646661
790.5,0.0245869,0.032715053
790,0.0246305,0.032773067
789.5,0.0246941,0.032857692
789,0.0247717,0.032960946
788.5,0.0248384,0.033049696
788,0.024896,0.033126338
787.5,0.0249266,0.033167054
787,0.0249986,0.033262856
786.5,0.0250649,0.033351075
786,0.0251252,0.033431309
785.5,0.0251773,0.033500633
785,0.0252131,0.033548268
784.5,0.0252558,0.033605084
784,0.0253264,0.033699023
783.5,0.0253954,0.033790834
783,0.0254526,0.033866944
782.5,0.0255115,0.033945315
782,0.0255797,0.034036062
781.5,0.0256489,0.034128138
781,0.025713,0.034213429
780.5,0.0257507,0.034263592
780,0.0258083,0.034340234
779.5,0.0258635,0.034413683
779,0.0259281,0.034499639
778.5,0.0259614,0.034543947
778,0.0260499,0.034661704
777.5,0.0260412,0.034650128
777,0.0260926,0.034718521
776.5,0.0261568,0.034803944
